,PID,Decade,PubCountDecade,PercentileRankDecade
0,361,1.0,24,0.3054901201336608
1,361,2.0,29,0.17515910002192991
2,533,1.0,20,0.5285775335775337
3,533,2.0,11,0.22650773583542153
4,671,1.0,42,0.3772595763409835
5,671,2.0,34,0.6363515837370644
6,1452,1.0,22,0.16983845519666188
7,1452,2.0,91,0.14839011576507805
8,1467,1.0,15,0.38756804428191
9,1467,2.0,36,0.11913269394816114
10,1635,1.0,23,0.45716683207758596
11,1635,2.0,19,0.5037147633174236
12,1733,1.0,3,0.5317444456314722
13,1733,2.0,4,0.28267673444946134
14,1775,1.0,12,0.10805977327793159
15,1775,2.0,16,0.0547477476002138
16,1912,1.0,11,0.23416633547157958
17,1912,2.0,23,0.19792901936279741
18,2101,1.0,7,0.27882804983823634
19,2101,2.0,16,0.06681629386033418
20,2102,1.0,14,0.1408679959511942
21,2102,2.0,28,0.14700729066244203
22,2193,1.0,22,0.07571625684321295
23,2193,2.0,12,0.23276394890928112
24,2230,1.0,27,0.3252902732073039
25,2230,2.0,59,0.4613712847376571
26,2358,1.0,10,0.060920142889596164
27,2358,2.0,27,0.07889729288088192
28,2450,1.0,42,0.3045673915684083
29,2450,2.0,57,0.2305135339503875
30,2631,1.0,12,0.10007073687174205
31,2631,2.0,37,0.032025109794209514
32,3232,1.0,36,0.24550473584762667
33,3232,2.0,80,0.16731251942797404
34,3244,1.0,1,0.3076923076923077
35,3319,1.0,27,0.2632764240267625
36,3319,2.0,43,0.23488759681567647
37,3371,1.0,41,0.32887719942918187
38,3371,2.0,38,0.1974258048710522
39,3438,1.0,7,0.12318862460815445
40,3438,2.0,43,0.46764527408059076
41,3439,1.0,10,0.4525944371412091
42,3439,2.0,28,0.35791715792234563
43,3934,1.0,10,0.27327668036544084
44,3934,2.0,34,0.049948512290376966
45,4047,1.0,19,0.3427702183882221
46,4047,2.0,56,0.153211429654444
47,4049,1.0,4,0.4114224149987432
48,4049,2.0,6,0.046905580084543215
49,4174,1.0,13,0.3814505511393679
50,4174,2.0,52,0.21781563172768692
51,4332,1.0,36,0.3767252937446546
52,4332,2.0,40,0.2174006421183146
53,4455,1.0,18,0.33697928020695145
54,4455,2.0,127,0.15957914606739204
55,4477,1.0,29,0.08167405395533676
56,4477,2.0,35,0.26102959852761326
57,4511,1.0,9,0.3308373361994161
58,4511,2.0,11,0.20057853667456615
59,4512,1.0,8,0.22846813679285585
60,4512,2.0,42,0.05125576538286944
61,4735,1.0,10,0.3659466938991086
62,4735,2.0,86,0.12017181550034935
63,5089,1.0,13,0.2263232153677372
64,5089,2.0,34,0.09273744889134146
65,5400,1.0,25,0.18787550038390022
66,5400,2.0,40,0.13493597066635307
67,5405,1.0,35,0.2125563533331881
68,5405,2.0,138,0.07601368529179994
69,5426,1.0,39,0.1995179968795099
70,5426,2.0,84,0.19539300683727925
71,5619,1.0,7,0.3732486900057726
72,5619,2.0,16,0.25990578653209756
73,5645,1.0,11,0.16073581994010971
74,5645,2.0,45,0.15818848504349153
75,5812,1.0,5,0.22697540967044513
76,5812,2.0,94,0.2037185034626515
77,5854,1.0,25,0.16380723180014453
78,5854,2.0,3,0.2232777198238054
79,5969,1.0,22,0.33651711401069384
80,5969,2.0,90,0.13742919729896902
81,5994,1.0,15,0.057770279550103484
82,5994,2.0,29,0.030485487176898817
83,8037,1.0,38,0.251041952460289
84,8037,2.0,54,0.182788570579784
85,8186,1.0,8,0.2422305225151198
86,8186,2.0,29,0.38597577630578445
87,8197,1.0,15,0.14998848161015438
88,8197,2.0,11,0.14885038272533757
89,9400,1.0,15,0.23999876680153104
90,9400,2.0,20,0.09331675625093576
91,13256,1.0,7,0.4441546863446189
92,13256,2.0,5,0.19509511941863059
93,14095,1.0,20,0.19246058111347303
94,14095,2.0,22,0.2261968833662199
95,14933,1.0,1,0.7842323651452282
96,14933,2.0,27,0.30153461558864114
97,19317,1.0,16,0.12569461728619943
98,19317,2.0,33,0.12335564363947357
99,19661,1.0,74,0.2012573565598485
100,19661,2.0,186,0.15673956398828037
101,20363,1.0,1,0.4634146341463415
102,25915,1.0,51,0.2578990305150908
103,25915,2.0,33,0.26776420455300937
104,27011,1.0,8,0.33857257632273263
105,27011,2.0,20,0.5015430611283223
106,29108,1.0,5,0.3735897435897436
107,29108,2.0,2,0.36947626841243864
108,30306,1.0,23,0.3086197344240038
109,30306,2.0,47,0.21774542076952433
110,33509,1.0,6,0.019497333334712093
111,33509,2.0,16,0.01663421908956624
112,33679,1.0,8,0.4353325107831784
113,33679,2.0,26,0.30716733287979586
114,36146,1.0,19,0.33605188126205027
115,36146,2.0,64,0.20574114843467695
116,37225,1.0,27,0.06826471358521535
117,37225,2.0,169,0.10893480960805024
118,37699,1.0,14,0.18462760439987227
119,37699,2.0,48,0.19934372452869475
120,40243,1.0,22,0.1529207984897972
121,40243,2.0,19,0.09848840048399268
122,41643,1.0,13,0.3779718579397917
123,41643,2.0,40,0.23243410112176072
124,48077,1.0,4,0.05194819050870605
125,48077,2.0,9,0.04436880338884887
126,48144,1.0,43,0.13534808259917327
127,48144,2.0,89,0.0959314324989589
128,48825,1.0,22,0.25539533263671194
129,48825,2.0,162,0.16224646568798093
130,48828,1.0,31,0.2843983580242753
131,48828,2.0,95,0.0673372174264397
132,49087,1.0,18,0.2819534041917967
