Decade,Level,FieldOfStudyId,FieldOfStudyFrac,NormalizedName,PID
1.0,0.0,15744967.0,1.0,psychology,228476
1.0,1.0,41895202.0,0.5,linguistics,228476
1.0,2.0,202889954.0,0.3333333333333333,subjectivity,228476
1.0,0.0,138885662.0,0.5666666666666667,philosophy,228671
2.0,0.0,138885662.0,0.5609756097560976,philosophy,228671
1.0,1.0,111472728.0,0.3076923076923077,epistemology,228671
2.0,1.0,111472728.0,0.3469387755102041,epistemology,228671
1.0,2.0,2776971825.0,0.06306306306306306,existence of god,228671
1.0,3.0,141513077.0,0.14634146341463414,independent and identically distributed random variables,228671
1.0,4.0,182514268.0,0.25,sum of normally distributed random variables,228671
1.0,5.0,95707001.0,0.2,circular law,228671
2.0,2.0,123556308.0,0.0364963503649635,philosophy of language,228671
2.0,3.0,71889745.0,0.125,counterfactual conditional,228671
2.0,4.0,134530390.0,0.2,invariant polynomial,228671
2.0,5.0,143924541.0,0.5,outer measure,228671
1.0,0.0,144133560.0,0.6,business,667784
2.0,0.0,144133560.0,0.7272727272727273,business,667784
1.0,1.0,10138342.0,0.25,finance,667784
1.0,2.0,15241564.0,0.06666666666666667,investment banking,667784
1.0,3.0,121426985.0,0.25,private sector,667784
1.0,4.0,38731271.0,0.3333333333333333,private investment in public equity,667784
1.0,5.0,141083326.0,1.0,revolving credit,667784
2.0,1.0,73283319.0,0.3125,financial system,667784
2.0,2.0,2776597285.0,0.10256410256410256,equity,667784
2.0,3.0,202093079.0,0.13043478260869565,private equity firm,667784
2.0,4.0,93236110.0,0.2857142857142857,club deal,667784
2.0,5.0,165489993.0,0.3333333333333333,shelf registration,667784
1.0,0.0,41008148.0,0.45454545454545453,computer science,424054
1.0,1.0,18547055.0,0.23076923076923078,international economics,424054
2.0,1.0,18547055.0,0.38235294117647056,international economics,424054
1.0,2.0,35532855.0,0.14814814814814814,free trade,424054
1.0,3.0,82578977.0,0.10526315789473684,data aggregator,424054
1.0,4.0,2779190738.0,0.3333333333333333,trade diversion,424054
2.0,0.0,162324750.0,0.9166666666666666,economics,424054
2.0,2.0,20522121.0,0.13178294573643412,computable general equilibrium,424054
2.0,3.0,2778841548.0,0.09090909090909091,sectoral output,424054
2.0,4.0,24649204.0,0.25,capital deepening,424054
1.0,0.0,41008148.0,0.8275862068965517,computer science,178296
2.0,0.0,41008148.0,0.5,computer science,178296
1.0,1.0,31258907.0,0.4888888888888889,computer network,178296
2.0,1.0,31258907.0,0.3010752688172043,computer network,178296
1.0,2.0,91280400.0,0.08653846153846154,mobile ad hoc network,178296
1.0,3.0,108037233.0,0.26865671641791045,wireless network,178296
2.0,3.0,108037233.0,0.2361111111111111,wireless network,178296
1.0,4.0,41971633.0,0.21621621621621623,key distribution in wireless sensor networks,178296
1.0,5.0,7091991.0,0.1875,mobile wireless sensor network,178296
2.0,2.0,555944384.0,0.08849557522123894,wireless,178296
2.0,4.0,152153834.0,0.16129032258064516,wi fi array,178296
2.0,5.0,50558702.0,0.19230769230769232,geographic routing,178296
1.0,0.0,86803240.0,1.0,biology,650411
2.0,0.0,86803240.0,0.7647058823529411,biology,650411
1.0,1.0,95444343.0,1.0,cell biology,650411
2.0,1.0,95444343.0,0.32,cell biology,650411
1.0,3.0,57581600.0,0.25,transport protein,650411
1.0,4.0,119062480.0,0.4,golgi apparatus,650411
1.0,5.0,79061702.0,0.2857142857142857,syntaxin 3,650411
2.0,2.0,2781245598.0,0.2916666666666667,craniofacial,650411
2.0,3.0,126749454.0,0.2653061224489796,neural crest,650411
2.0,4.0,90620890.0,0.14814814814814814,pitx2,650411
2.0,5.0,103607123.0,0.2,neural fold,650411
