,pid
191116,464804
156811,145204
267126,774445
524606,499507
299549,229450
449115,405085
471253,430014
89198,726300
443383,402058
159272,146971
298489,228476
80520,133300
357607,686743
165715,132290
496834,463675
140856,135701
147282,139374
256245,228671
251136,255590
207091,152258
137575,136772
425054,374194
122699,140997
525255,500187
237760,153204
135365,160143
207194,463348
161605,148244
151557,143016
99542,159845
367781,306394
144853,129770
228699,150197
228399,134748
222189,143870
488340,451652
260555,186772
511231,482460
496194,462987
203089,159756
636241,667784
152102,135096
10106,33854
19581,1737
663289,726612
235366,149138
242736,166500
122739,132376
404823,354336
138596,137270
251321,176912
331784,517172
25457,154948
254740,180405
307002,238128
465557,424054
440630,394101
185495,150775
237425,152583
256953,182576
296050,225490
231365,141966
252594,178296
62932,678858
165037,142956
416792,366179
215313,153776
25459,154950
625173,650411
108959,94480
241502,164770
464513,423004
48060,157734
622021,643259
423102,372374
496039,462823
512247,483434
281220,209739
446941,403007
557293,544343
240296,161552
263873,190614
295977,225423
235988,150281
330278,261820
140223,132146
147119,136044
206560,579046
458707,745030
461748,420121
250677,176352
176011,137466
251385,176965
517257,488236
237021,367061
157622,146224
126585,62618
248981,441610
480090,441294
293991,227588
428027,377076
242602,373147
505424,473547
477912,439146
234253,147047
319092,628841
172409,135631
256670,182247
637814,669491
110441,135796
471686,541259
523461,717700
178098,137057
527900,504417
522179,576891
165990,149808
512870,483986
317832,248546
465383,423871
266597,194703
80526,133306
280436,208200
477981,439213
456635,413505
620905,773500
435520,388160
236619,151250
246940,172349
171600,150410
638818,670608
484356,446275
165872,150412
431808,470326
159807,147331
58722,726272
296581,425300
520474,521580
218986,160676
163591,141875
261734,294087
350806,284789
40030,157498
498977,466706
164601,149790
153959,143725
486791,450126
631819,659251
457269,414139
582035,580449
434830,387513
601357,610209
252501,188374
328208,259832
232354,143758
441211,510253
292588,222039
151147,142802
324577,256357
362695,463212
420420,369756
318716,774165
234674,671043
316846,247641
139627,132551
685744,773519
6445,156388
211349,690581
508320,555613
247159,180459
228724,678744
495892,462665
157698,160184
555333,540820
229783,138463
132638,55828
227116,131594
520551,494097
319230,262720
231532,142344
426430,375606
251755,242246
565364,554991
531733,509076
508581,726430
23846,47315
136277,134622
110411,128460
133800,134303
506880,474976
414478,363879
202055,131775
203392,161031
267345,438799
69300,156087
485661,447522
169551,159018
186538,148639
301168,231003
333063,265673
511191,482414
189551,297484
64692,154176
296177,461888
218264,399834
157805,727199
490962,457102
206578,152129
101669,33509
246884,172240
156091,145446
668820,738616
272238,200094
253518,179295
48526,157739
195925,137619
501934,668114
231386,141987
231817,726386
303788,233584
463866,422310
148821,141587
409201,358641
158301,361378
253655,188303
254517,266446
163750,135111
483452,445394
500022,467868
213774,404217
441305,482451
81110,225398
280551,208305
153104,142917
220189,140885
133683,134881
361940,297522
150858,142709
216786,490414
159120,146912
340078,274202
142686,139512
172711,158622
318988,266252
437188,389735
141931,139191
601107,609951
472132,432169
355596,291323
305210,236461
496299,463079
140926,136713
233547,193559
486114,447970
201300,92638
138000,137868
166613,150567
153439,143517
199344,161394
338537,271065
447952,403966
400620,368374
246785,172112
240408,463688
155640,147143
143676,137601
599640,604849
266783,420581
439410,391915
549212,532101
598203,603462
569583,561693
249179,174594
301072,230945
126998,132676
477507,438750
364622,302979
163048,68491
479040,440291
61182,722920
186477,132416
595132,600440
216887,387264
161533,365955
257645,184406
157712,135163
187756,136991
140845,135690
225689,144501
419430,368813
272047,199977
501525,469505
135558,136574
236212,150697
556386,543405
262064,773916
447497,403523
277098,205056
287725,217452
175444,554480
278292,206233
125248,70182
136835,134951
240254,161452
246035,175340
642555,677594
162860,68415
24790,4512
595262,630778
580236,576995
586977,733208
585949,585936
467759,426422
449496,405455
296069,225506
229271,137228
142216,143224
421309,370554
429917,612270
231282,299907
150277,136393
541491,521782
299672,394130
491418,457452
162909,72070
486528,453210
265010,191779
449362,405318
318854,404779
163548,149342
138224,216691
360956,296598
499930,467775
261623,357423
518686,728867
99189,129298
116291,130386
242553,166211
244735,435313
35960,156862
491152,457150
524148,499025
487390,450712
233423,172313
544404,526632
155650,147153
54509,464795
146378,158971
634901,666050
593775,599138
239318,403145
119199,131005
148735,141668
545885,528080
233881,632816
153425,464923
234181,151554
247102,172467
334420,267056
503143,471226
110434,135789
238518,200281
13979,12577
415474,364848
310750,241526
207441,152235
420419,369755
160858,147815
203030,93772
154371,138958
118865,67541
245762,170181
401161,667534
624499,649724
233392,145433
277713,205621
685869,774063
429023,378098
75804,19317
548072,530968
137975,150861
119387,245391
233960,146542
148077,66000
470453,429185
630178,657636
