PID,MinPubYear,MaxPubYear,NPubYears
464804,2010,2015,6
145204,2002,2002,1
774445,1994,2011,18
499507,1998,2014,17
229450,2006,2020,15
405085,2001,2002,2
430014,2001,2006,6
726300,2010,2015,6
402058,2005,2020,16
146971,2007,2020,14
228476,1970,2016,47
133300,2006,2010,5
686743,2006,2020,15
132290,2009,2016,8
463675,2008,2020,13
135701,2009,2020,12
139374,2004,2020,17
228671,1997,2020,24
255590,2010,2020,11
152258,2003,2003,1
136772,2009,2018,10
374194,2009,2020,12
140997,2010,2012,3
500187,2008,2020,13
153204,2000,2004,5
160143,2005,2013,9
463348,2008,2012,5
148244,2004,2020,17
143016,2010,2020,11
159845,2010,2017,8
306394,1997,1998,2
129770,2011,2020,10
150197,1999,2002,4
134748,2010,2014,5
143870,2009,2020,12
451652,2004,2009,6
186772,2002,2020,19
482460,2010,2012,3
462987,2002,2014,13
159756,2002,2020,19
667784,1999,2020,22
135096,2007,2007,1
33854,2012,2019,8
1737,2005,2020,16
726612,2007,2013,7
149138,2008,2018,11
166500,2012,2015,4
132376,1997,2000,4
354336,2005,2014,10
137270,2002,2007,6
176912,2005,2020,16
517172,2007,2020,14
154948,2010,2020,11
180405,2009,2020,12
238128,2003,2012,10
424054,2001,2020,20
394101,2002,2006,5
150775,2009,2016,8
152583,2001,2003,3
182576,1999,2004,6
225490,2004,2005,2
141966,2006,2008,3
178296,2000,2020,21
678858,1996,2003,8
142956,2000,2010,11
366179,2002,2020,19
153776,2009,2015,7
154950,2009,2014,6
650411,2000,2019,20
94480,2014,2017,4
164770,2009,2018,10
423004,1999,2006,8
157734,2011,2015,5
643259,2009,2020,12
372374,1999,2002,4
462823,2009,2018,10
483434,2008,2014,7
209739,2003,2017,15
403007,2008,2020,13
544343,2000,2020,21
161552,2009,2020,12
190614,2005,2020,16
225423,2000,2005,6
150281,2009,2014,6
261820,2011,2020,10
132146,2008,2017,10
136044,2012,2016,5
579046,2002,2006,5
745030,2010,2020,11
420121,2013,2020,8
176352,2007,2009,3
137466,2005,2020,16
